post,new_topic,label
"The author is correct to observe that ""...racial disparities remain alarmingly wide."" But there is no evidence to suggest that affirmative action can change that. Affirmative action is quite likely part of the problem, not the solution. It insults blacks and hispanics and breeds resentment in others. Let's stop discriminating against people because of their skin color and let's increase opportunity for everyone in our society, especially for those at the bottom of the economy.",affirmative actions,0
No simply answer. I serviced machines at a produce packing plant where all the workers were laid off after a fire. When the plant reopened the black local based work force was replaced with an immigrant crew provided by a labor contractor. The business owner had the opinion that the blacks didn't work hard enough and were a lot of trouble. Five or six of the most reliable blacks were kept. Fifty years ago migrant crews were blacks who followed the harvest seasons up and down the East coast. With liberal welfare policies they could stay in one place. Farmers who still needed workers came to depend on contractors who would supply illegals. Forcing blacks off of welfare and busing them to farm jobs would probably not go over very well. Simply enforcing labor laws prohibiting hiring of illegals is not good enough. They have to be kept out of the country. By simply setting foot on American soil they gain many legal and Constitutional rights.,machine,0
"The average teacher may have one at most two classes on children's or young adult literature. Many that I have met have an extremely shallow knowledge of this category of learning. In contrast librarians have a tremendous base of knowledge that guides not just students but the teachers within a school. Beyond the love books and knowledge librarians empower students to go beyond google, they help students learn differentiate and validate information in the sea of misinformation that characterizes the internet today. Yes teachers and schools can stumble on without a librarian, but it is as if we would ask a child to each McDonalds for a meal everyday. Their education is ultimately nutrient diminished.",librarian,1
"""Everyone is entitled to his own opinion, but not his own facts."" ---- Daniel Patrick Moynihan All schools should attempt to teach students facts. Give the students, as they mature, the ability to reach their own opinions based upon those facts.",fact,1
"I am a 20-year-old female college student who does not own a smart phone and does not wish to own one. I feel as though I am one of the few left of my age (and in general) who have not been sucked into the smartphone (mostly iphone) world. It can be very frustrating for me when my friends are constantly glued to their devices. I often find myself in social situations where everyone in the room are on their phones and I am left sitting, waiting for someone to come back into the real world in order to have a conversation or to decide on something to do other than stare at a screen. In this sense I agree that smartphones/facebook can be potentially damaging to relationships or at least to proper social conduct.",smartphones,0
"I personally think that using arguments and evidence is central in any debate. However the nature of research changed with the advent of databases and google. Moreover the Internet has dramatically changed the way people discuss or just get information about public issues. Perhaps, it would be more helpful to teach students how to deal with digital tools more consciously. For example, when I was a TA, my supervisor gave to his undergraduate students a very original assignment: writing a wikipedia entry. Writing a Wikipedia article seems a simple task, it is a very challenging work because first of all it is an hypertext and references, quotations, link are central to prove both the entry is verifiable and well structured. Second, editors review all articles that are submitted and there is a group approval system to determine if content is published, or rejected in the case of plagiarism or poor quality.",digital tools,1
"On my flight yesterday from Seattle to Dulles/DC the legroom upgrade would have been $119, not $39. Where I live, Southwest doesn't fly, so that isn't happening. Because flying has become so unpleasant I do it as little as possible. The only bright spot is the foreign carriers on trans Atlantic flights--a trip to Milan via Emirates last summer was a pleasure, with legroom, edible food and a choice of 500 movies to watch for free. Regulation of things like legroom and full disclosure of fees sounds like a good idea to me.",fly,0
"Totally agree with this view, but I have not heard any comments pertaining the posture of Big Farming and their supporters. Regardless I will gladly pay the higher price of vegetables if I new it helps a family owned business.",big farming,0
"I find the incessant ""looking down at the smartphone"" to be so annoying that I am about to ban the use of smartphones in my gastropub. It is my little way of encouraging people to interact with each other instead of with technology.",smartphones,0
"I am surprised that the Times should give this crackpot idea so much space. Capital gains is the income of the rich. Are the rich supposed to be exempt from taxation? They depend on society to produce their riches. In late-Victorian Britain, the argument was the opposite. Non-work income was 'unearned income' and was taxed at a higher rate. And spare us the argument that low taxes on capital gains promotes economic growth. Under low capital gains tax (since the 1980s) growth was slower than in the post-war periods, when taxes were high. And virtually all the benefits of growth have gone to the rich.",capital gains,0
"Although I have no idea what studies show about home schooled kids, I do know that, having hired two of them, my impression is not favorable. Both were prima donnas who spent a lot of time complaining about work rules, who thought that they should be able to change work processes to suit them, and who resorted to crying and making scenes to try and get their way with co-workers. The public school system was established primarily as a benefit to society, not just the individual child. That is why we all pay taxes to the schools whether we have kids or not. If people want to take their children out, so be it -- but they still still have their obligation to support the schools.",school,0
"If we just had millions upon billions living in unindustrialized countries or places in which people had no discretionary income to participate in a consumer society, Erhlich would have remained wrong. But societies around the globe have changed, and everyone desires a higher standard of living. Now Erhlich is right. Okay, let's make an effort to reduce consumption. But does not our economy and our whole way of life rest on the foundation of a consumer society? Without the populace subscribing to and participating in a society dedicated to making or marketing things and buying them, how do we structure society then? What do people do in lieu of buying stuff? How is power accorded and meted out? How do people obtain the necessities? How do they generate income? I would suggest that there is more to the challenge than ""to fix capitalism by encouraging innovation in the technologies that can deliver a liveable world. "" There will have to be a philosophy with which to address nature and the universe, for both the powers-that-be and hoi polloi.",capitalism,0
. Do alcohol and marijuana affect some users negatively? Absolutely. Should minors be allowed to legally consume either one? No. But the war on drugs is a failure. All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad. I don't endorse the use of either marijuana or alcohol. But making them illegal protects no one.,the war on drugs,0
An experience similar to Ms. Jackson's at CVS highlighted the degeneration of mathematical facility in young people. My bill at a fast food restaurant came to $10.15 and I handed the young lady behind the register $20.15. She looked at the 15 cents and at me all puzzled; she shuffled it around the counter. Then she entered $20.15 into the register and when it showed that the change due was $10.00 her face lit up. The mystery puzzle was solved. She looked at me with an awe that reflected her amazement that I could think of this ingenious gambit. Needless to say I was also amazed. I am similary awed when I read of surveys wherein significant numbers of college students (even in Southern California) could not identify a country that borders the U.S. or did not know which side the U.S. fought on in WWII.,people,0
"Is this doofus for real? Did no one explain to him the logical fallacy of confusing correlation with causation? I have freshman students who can dismantle this laughably flawed reasoning...in fact, I may just have to borrow this article for new students in my logic course to practice on.",logic,1
Very one sided discussion: 1. All subsidies go to rich people because there purpose is to draw investment capital into those parts of the market. They have to go to people who have captial. 2. Decreases in farm subsidies will decrease farm production and increase food prices for everyone. 3. Increased farm prices will decrease exports and causing further decreases in production and increase in prices 4. Potential food shortages is a national security issue.,national security,1
"We need to stop selling beer because beer is a gateway alcoholic beverage that will lead people to drinking vodka, Scotch and gin. I find it ludicrous that we are having this discussion in the 21st century...did we fall into a time warp and end up back in the 1930s?",alcohol,1
"Optimism, please ! The sky is not falling as some predict. Papandreou has shrewdly realized he can can pressure Europe for a better deal. Thus in the end there's a bigger haircut and Greece remains in the Euro. Ditto for the others.",greece,0
"In today's Western world, almost all children survive to adulthood, thanks to good medical care, no wars, and a much better standard of living. In this scenario, there's no real need to have lots of children, parents can just have 1 (let's say) and be reasonably certain that that child will have a normal life. If it's OK to have just one child, then women feel that they don't need to start early. A woman in her late 30s can still bear that one child, so delayed motherhood makes perfect sense. In the past, women started early because they planned several children, and that in turn was caused by high mortality.",women,0
"the title, ""It's as American as Apple pie"" is childish. It's as if 'smoking is American in 1960 and thus a good thing.' The whole system is broken. Tips range all over the place....Restaurants in America should learn to global system of paying standard wages and tipping should be just a minor thank you. Use to be 10 -15% was a good tip. Now it's 20-30%. Soon it will be considered declasse to tip less then 50%. Wake up and smell the inequity.",america,0
The D.C. Metro area is a good laboratory for this topic. There are literally scores of thousands of morbidly obese Federal workers slithering all over this place. Costing taxpayers billions for their desire to stuff food down their fat throats means they need to be held accountable. Overweight? No health insurance.,d.c. metro area,1
"I think they can be quite normal..Prince Edward and Sophie lead a fairly normal life..although, of course, he is not in line for the throne. And Kate and William have known each other for 8 years..and there does not seem to be a ""Camila"" lurking in his background..with their life under a microscope, we would know! I just hope they can have some privacy. They have many, many mutual friends..so I imagine they will be surrounded by them..entertain them..and they will have their support and love them for who they are..and not because they are in the royal family. She is a lovely, lovely girl..and William has said ""There is something special about her."" Now this is nit- picking...but, she does look a little too thin. And I wish William was not a helicopter co-pilot..it is just too risky! Well..I wish them the best!",royal,1
Claiming that Assad and ISIS are both evil suggest a moral equivalence that is unjustified. Assad uses horrible means to stay in power but we should not forget that before the trouble started he was quite popular and many assume that he might win free elections. Daily life in peace under ISIS is fundamentally more troublesome. The trouble with expanding attacks on ISIS to Syria is that it gives Washington a role in the Syrian conflict. We may also see that once Washington starts bombing them many ISIS members will start to call themselves members of Al Nusra or some other Syrian rebel group. In my opinion the only way to go forward is to strive for an agreement between Assad and the moderate opposition. Until now the US has sabotaged such negotiations and supported those rebels who don't want to compromise. But if Washington gets serious about negotiations and presses the other countries supporting the rebels to get similarly serious some compromise should be possible.,isis,0
"People who are in the habit of behaving with civility tend not to commit minor crimes and to not disrespect the lives of others. Police work that enforces minor offenses and quality of life ordinances sends the message that uncivil behavior will not be tolerated. Some in poorly policed areas are characterized by a lot of people who live in distress, are exposed to criminal behavior on a daily basis, and are exposed to significant numbers of people who are used to acting out without any consequences. In such areas the worst behaving people end up determining the living conditions of all.",civility,0
"First, the result of farm subsidies is cheaper food, not rich farmers. Second, farm subsidies should be reduced to help reduce the deficit, but that reduction should be proportional. Elimination of farm subsidies would dramatically affect our balance of trade, as farm exports currently help balance imports of manufactured goods.",export,1
"In my state, the guards at the gates of a major Air Force base were privatized! A security company took over, despite thousands of soldiers on base. At least until the man who owned the security guard company took off one day without paying the guards. And that's just one case. In nearly every instance where knee-jerk privatizers take over, the workers lose pay and benefits, a few owners rake in our tax money, and services sink to the bottom of a deep, dark pit. In Afghanistan and Iraq, Halliburton et al. rake in billions year after year, take the lion's share, and then farm out the work to sub-sub-sub contractors, who get pennies on the dollar and do a cheap, ineffective job--if it's done at all. And no one in power complains. When do we stop the madness?",security companys,0
"i travel in many places in the world where tipping is really just that..Not in the US where it should be called 'wages'. And the restaurants are packed. (see Paris etc). When you get the bill you don't have to factor in TAXES, TIPPING etc. Just because something has been done for years doesn't make it a good thing.",restaurants,1
"I'm beginning to see that up here in Soviet Kanukistan, we have it REALLY cushy when it comes to the banking industry. There is open, honest competition between banks for the customer's business, for one thing: not apparent collusion between major banks to charge similar fees and stifle true competition!! I pay $8.5 per month, get free debit services, free checking, 10 ATM transactions per month, and my overdraft fees are only $5 per shot (thank goodness, lol!!). Most ATMs charge $1.5 for transactions not associated with their sponsoring banks and even the private ones only ask this much. I remember visiting the USA in 1998 and simply refusing to pay $3 just to use an ATM!!!! The USA is the richest country on the planet, with the hugest bank profits... looks like exploiting the poor and vulnerable in their society is one of the ways they GOT so rich in the first place.",fees,0
"As another commentator mentioned, the widespread use of cell phone cameras and convenient connectivity of the Internet make it easy to catch and publicize celebrities living their lives. In the old days, photography required a large bulky camera, a big flash gun, and time to set up the camera. Today's cell phones take a reasonable-quality photo instantly. Actors and sports figures are not public policy makers. As opposed to public government officials (elected or appointed), celebrities do not decide how much taxes we pay, what laws we must observe, or whether we go to war. As such, they should be give more privacy. In other words, it may be in the public interest to publicize a congressman patronizing a brothel, especially when that congressman takes a high moralistic political position. When an actor or sports figure (or a retired out-of-office politician for that matter) does such a thing, it doesn't affect the rest of us and isn't really a matter of the public interest. Of course, some celebrities like the publicity and generate it themselves. They feel compelled to announce (and the media feels compelled to publish) when they start a new relationship or terminate one.",cell phone cameras,1
"Why are savings in CD's and banks (Paying 0.2%) taxed as ordinary income? Is this not earnings that have already been taxed? The answer of course is because only the working poor and non savy save this way. For people like Mitt who game the system in hedge funds, his carried interest interest (earnings from managing others money) is taxed at 15 percent. The entire system is a joke.",tax,0
"My wife and I are long-time vegans raising a healthy vegan child. Our wonderful daughter is above-average in height and in the 95th percentile in head size. She has hit virtually every developmental milestone at least a month ahead of average, and she has been regularly declared healthy and above average by our pediatrician, who has decades of experience with thousands of children and who has declared that he is comfortable with our vegan choice. We know at least a dozen other vegan children who are healthy and high-functioning. That's consistent with the findings of the American Dietetic Association, the nation's largest organization of nutrition scientists, which has issued a position paper written by experts who reviewed the existing peer-reviewed literature and found that well-planned vegan diets are healthful for infants and children. The considered opinion of such experts--and of our pediatrician--are what we rely on to make decisions about our child. We don't tend to factor in the opinions of cookbook writers.",diet,1
"When a hurricane hits and the beaches are damaged, it is the tax payer who pays to have the beaches restored. Why do beach house owners believe they can cut off access to a beach when it is the tax payers who pay to maintain it? If they refuse to allow access to the beach, and the local police departments ticket & tow cars parked on the street owned by out of towners using the beach, then the government should exercise eminent domain, kick the owners to the curb and raze the houses. The beach and the ocean belong to everyone, and everyone should have full and free access. FREE access. Don't get me started on towns that have the nerve to charge a fee to allow people the privilege of sticking their toes in the sand. That is absurd, too.",tax payers,1
"What has been uncovered so far is that there are faceless, nameless people posing as real journalist deciding what stories are important and not important with ZERO oversight from an editorial board or any peer review. Facebook should be taken for what it really is ----- Just a BLOG in the Blogosphere of the Internet. Facebook is only useful for sharing photos of your children or dogs and cats.",facebook,1
"What the NJ Transit employee failed to understand is that there is a distinction between free speech rights (burning a Koran, a flag or what have you) and the fact that employment in America is, by and large, at-will -- you can get fired if your boss doesn't like the color of your socks. If his off-hours -- but very public and very controversial -- actions were deemed to affect his workplace efficiency, then his employer had a perfect right to fire him. Sadly, this particular individual has learned, in the harshest way possible, a rule of Free Speech that many tend to forget in our times: just because you have the right to say whatever you want it doesn't mean that it's always a smart idea to do so.",speech,0
Should be legal. Sex work - oldest profession - is not going away. Reduces AIDS and STDs when controlled. Half the celebrities are sex workers of sorts selling their bodies so why not the ones who actually have sex be allowed. Not everyone wants to do that. It has a strange effect on the psyche of women. An act made for bonding and love done with people you dont like - messes with the mind.,sex work,1
"Most of the smartest women I know aren't competing in pageants...and the opportunities these pageants provide in cash for a few women do not undue the harm that they cause for the millions of others that watch. The only 'brainy' thing the women do on stage is anwser a one-line question. Even the volunteering component is still a bit silly. Given that volunteering is now a pre-req for college admissions, these women don't achieve much more than their peers do. These pageants seem more like finishing school for future high-end trophy wives who are well-kept and dabble in charity on the side...",pageant,0
"The money spent on intercollegiate athletics could be better spent. How much of college fees go directly to athletics in which a small percentage of students participate? My daughter has a PhD and teaches at a state university with great athletics. She makes less than $45,000 a year although instructors have gone through an arbitration process. The school refuses to go along with the decision reached (for five years - wages frozen). With so many colleges not hiring, she considers herself lucky to have a job. And yet, the athletic department is not sharing the pain. It is time to recommit to the purpose of higher education. I am assuming here that it is not to teach football. If it is, then they should be paying tuition not getting athletic scholarships.",intercollegiate athletics,0
"It has nothing to do with nutrition education. Nowadays, we have this magical thing called the internet. There are no excuses for not knowing what's healthy and what isn't. You're either too lazy to figure it out for yourself (and so you let the food companies tell you what to eat -- nice conflict of interest right there), or you simply don't care. I also like how you mention ridiculous ""documented"" results yet fail to provide said documents. A ""50% reduction in the incidence of children becoming overweight."" You can deduce that just by changing drinks in a vending machine? Please tell what analysis was performed to come to that fitting conclusion -- as a statistician, I'd love to know. And, Yael, ""100% juice"" isn't any better than soda. It's all garbage.",nutrition,1
"I strongly disagree with the author's characterization of prostitution, but strongly agree with the author's suggestion of what to do about it. Prostitutes are most certainly allowed to say no to unwanted sex. It is only because the current system within which prostitution operates has so disempowered prostitutes -- leaving them vulnerable to both their clients, their employers, and the law -- that their wishes are so easily disregarded. If the prostitution laws were reversed so that it is the johns and the pimps, not the prostitutes, who commit the crime, then prostitutes would have much greater power to avoid unwanted sexual contact and violence, and perhaps a much better chance of getting out of the business altogether.",prostituion,1
"I have taught at elite universities for the past 43 years. Before that, I served three years as an enlisted man in the United States Army and taught arithmetic to students in surveying students at the engineer school at Ft. Belvior. From this limited experience, I can make two observations. Students at elite universities have grown stronger in the last four decades and the state of American secondary education in 1964 was awful. Enlisted men who had had be selected to learn surveying had mathematic skills that were so weak we did not try to teach lowest common denominator when we covered fractions. I don't think we are getting dumber and we still have a system that can discover talent in students from less privileged backgrounds. The present state of political discourse is discouraging, but in the past we have had Senator McCarthy and his list of communists in the State Department, the hysteria leading to the Spanish-American War, the American Civil War and a very long list of disturbing events in Europe from the Holocaust to the Crusades. Be cheerful. It has always been this good or this bad.",political discourse,1
"This situation has existed for decades. The Illegal immigrants have provided needed labor in many areas of our country. They for the most part are industrious, hardworking, friendly and religious people. Stopping the flow of illegal immigrants could have happened decades ago by making it a crime punishable by fine or jail for anyone to hire an undocumented, illegal immigrant. For decades despite all of the talk, our government has given a nod and a wink for them to come here. They have raised their families here and have been a net positive to our society. WHAT SHOULLD BE ILLEGAL IS OUR GOVERNMENT USING AND ABUSING THESE PEOPLE, THEN BEATING THEM OVER THE HEAD SAYING THEY SHOULD BE DEPORTED ENMASS. Shame on the Republican party. Where is their conscious? What are their religious beliefS???????",illegal immigrants,1
"I am in my 9th year teaching, and yes, I feel sorry for the students I had my first year. I am a good teacher today, and it did take about 5 years to reach that point. I have never worked in a charter school, but I did once interview at one (and decline the job offer), and I know several teachers who currently work at charters. Charter schools do not offer competitive salaries. In addition, charter school teachers have more duties and longer hours in school, so, after factoring in daily lesson planning on top of their extended hours, they work much longer, in poorer conditions (the shiny buildings don't mean good work conditions) with much lower salaries. No education professional actually believes that charter schools are hiring superior teachers.",teachers,1
"Wait a minute: Don't very wealthy, un-elected people have huge power in every political area of influence in our culture. They have the success to show the way. We look up to them. Why shouldn't they have something constructive to say about education. I feel that traditionally trained teachers are chosen from the least talented pool of students. Their SAT and GRE scores are consistently in the bottom third. We need a bunch from the top third and the middle third, and we need huge improvement in MATH & SCIENCE. We do not need a bunch of obstructive, complacent union drones clogging up the arteries of education. We need more flexible educational leadership, and more rewards for excellent teachers.",education,1
"Undoubtedly, ISIS is a well-organized terrorist organization that aspires to damage the United States in any way possible. The brutal murder of James Foley led some (like Ryan Crocker) to call for increased military strikes in Syria. However, we should not carry out such attacks without considering their impact on Assad's regime. Even an uncoordinated airstrike is likely to damped international pressure against him. It legitimizes his struggle against the rebels and diverts conversations away from his crimes against humanity. We must remember that Assad is responsible for the deaths of over 100,000 of his own civilians - sometimes through the use of weapons of mass destruction. As the Syrian leader he had a special obligation to protect the very people he murdered. No one reasonably expects ISIS to carry out attacks on this scale. Military activity in Syria should only occur in the context of a struggle against an authoritarian dictator.",isi,1
"One of the most important contributions to US education from TFA alumni has not been mentioned by any of the contributors to this discussion. The TFA alumni who leave teaching for other careers retain their knowledge of the real conditions of poor children and their schools. They can and do give voice to those realities in political debates and can counter the many (often willfully) ignorant claims of opponents of public education. Just as Peace Corp volunteers are a source of reality about the Third World, so TFA alumni can and do continue to advocate for poor children and their schools when they become investment bankers, lawyers, or other high earners. Such advocacy doesn't direct benefit the children they taught, but it will benefit public education. TFA recognizes that we need to change the political debate over public education as much as we need to get top graduates into schools as teachers. Rather than harp on the limits of TFA, we should recognize that Wendy Kopp has found a way to move politics in a progressive direction and spend our efforts applying its lessons to other areas of public policy and politics.",tfa,1
The so-called Iranian threat is just a smokescreen employed by the Likudniks both in the U.S. and Israel to shove the peace process onto the back burner. Israel always paints itself as living under an existential threat in order to galvanize the support of worldwide Jewry. If Isreal were to make peace with its neighbors the diaspora would lose interest and emigration from Israel would increase. This is why the Israelis continue the occupation of the West Bank (including East Jerusalem) and the blockade of Gaza.,israel,0
"Justice Ginsberg has the right of free speech also. That's the first thing I thought. Her thoughts on Merrick Garland were very appropriate. The Senate refusing to have a confirmation hearing under the Obama administration is an outrage. More than that, not having Merrick Garland on the Supreme Court is a wasted opportunity for our country. If you are acquainted with the legal system, you can appreciate the years of hard work Judge Garland has put in honing his redoubtable intellect. In addition, he has already provided a lifetime of public service. He richly deserves to be on the Supreme Court. The United States would be a better place. Professor Chemerinsky, you were so insightful during bar review, and you are right on target here.",merrick garland,1
"Is this some kind of joke? Tax capital gains as income. Period. Tax securities transactions too, most of all high frequency computerized front-running, and pay for national socialized medical care with it, like England does. We've tried trickle-down since Nixon and it hasn't worked once. Tax the rich. Jail the bankers.",capital gains,0
"Most definitely, I agree that felons should be allowed to vote. Their rights should not even be suspended in my opinion, not for a day. Taking away the right to vote is the ultimate affront in a so-called democracy, and it helps create the downward spiral of criminals in our system. It is just another reason that once a person becomes a felon, they have very little chance of ever succeeded in this country. They'd be much better off leaving the country, however even that right is removed. Criminals are citizens too. This antiquated idea of removing voting rights is akin to the policies you see in North Korean.",felons,1
"Ted Henken rightly refers to Cuba's ""dismal human rights record,"" but neglects to acknowledge that the United States is in no position to evaluate it. It is an act of imperial hubris for the United States to judge Cuba's human rights record, and in order for us to take such a judgment seriously we would have to ignore the dismal human rights record of the United States and the massive heap of corpses that US foreign policy is responsible for. The purpose of the embargo, of course, was to ""cause hunger, desperation and the overthrow of the Government,"" and as such is a far greater crime than any Cuba has committed under the despicable Castro regime.",human rights,0
"Hmmm... the States-Righters ought to love this, huh? It certainly has precedents and does not seem prima facie unconstitutional. After all, would not a lot of Texans, Alaskans, and others enjoy giving total fealty to their state and avoiding any responsibility to a larger polity? No? When enough people realize that immigration is driven by forces much stronger and more pervasive than domestic policy, that it cannot be eliminated by laws, fences, patrols, or any other local action, and that it will continue to be the boon for us that it has always been, perhaps then a rational discussion will ensue.",constitution,1
"If it sounds too good to be true, it is. Beware of the man who promises more than anyone can possibly deliver: ""Ideally, the rating and performance-based funding system would drive states, institutions and students toward the transformative change needed to tame student loan debt and jump-start social mobility."" Yeah, right. As if. We have an increasingly unequal society. Parents and students are afraid they won't learn what they need for success. Educational ranking, in that environment of fear, pushes schools into offering quicker graduation, streamlined curricula, and narrower and more uniform education, in order to prove they can hit their numbers. Student learning cannot easily be measured. So it will be neglected in favor of what can be measured. What this guy is advocating is harmful to students and harmful to education. But it looks like it's the future.",student loan debt,0
"Most people rarely if ever eat in the ""world's best restaurants."" Extrapolating how tipping functions from an expensive midtown Manhattan sushi place to the entire country would be funny if it weren't so insulting to the millions of wait and bar staff who work their butts off at local restaurants in small towns where there's no such thing as ""career advancement"" especially for those with no more than a high school diploma. You present customers as some sort of victims to the exploitative servers bad behaviors and claim tipping resulting from this is not ""capitalism."" Yeah, you never see a ""successful, ethical corporation[s] under the free-enterprise system"" selling people things they don't need or using sex to sell...",restaurants,0
"If tips motivate servers, then why is service generally better in Europe than in the US? The answer is because in Europe, restaurant staff are treated like professionals and they respond accordingly. They receive decent wages and benefits, are properly trained and take pride in doing a good job. American wait staff tend to be young people, filling time until something better comes along. Their obsequious desire to please doesn't make up for being overworked and improperly trained. Tipping just props up a bad system.",restaurants,0
"Yes, there is such a thingas as regulatory capture - companies find ways to manipulate rule-making bodies for their advantage to to keep out competitors. Without the existence of such rule-making bodies, they can't be captured - so companies find other ways to keep out competition. those ways are not perfect, of course, but then, comapnies are not always perfectly successful at regulatory capture. As usual as strict adherence to principle, whether libertarian or statist, is not effective in reality.",regulatory capture,1
"""An American parent could reasonably decide not to follow the C.D.C.'s current vaccination schedule by choosing to vaccinate on the schedule they use in Norway, which has one of the lowest infant mortality rates in the world."" You don't come close to explaining how it's ""reasonable"" for a parent to second guess the CDC's recommended schedule. Do you have actual evidence that the potential risk of infant vaccines outweighs the risk of the diseases they prevent? It seems not.",vaccination,1
"This is just another conservative ploy to defund the public school system. The goal is to make Americans as ignorant as possible, so that they'll believe the lies that Limbaugh, Beck, and the rest of the conservative propaganda machine are pushing on us.",public school systems,0
"I believe that felons should have to petition a court for restoration of their complete citizenship rights. Those that can show a reformed lifestyle should have their rights restored. Some will argue that if they have paid their debt to society they should be automatically be restored, but we make sex offenders register and limit their housing choices. Child molesters are forbidden from some occupations. We do limit the rights and freedoms of some felons even after they have served their time. I do not believe anyone convicted of a violent crime should ever be able to own guns.",felons,0
The best choice for low risk women is a outpatient birthing center staffed by midwives in a collaborative practice with a progressive obstetrician but steps away from a hospital operating room if an obstetrical emergency develops. This would be a safe and cost effective choice that many more women would opt for if it was made available and properly explained.,outpatient birthing center,1
"I'm a nonfarmer living in Iowa and the subsidies must be cut. The corn and soy farmers I know all vote Republican and at the same time are eager for their government checks. All see their checks as an entitlement, after all they are honest, hard working, Protestant whites, not like those welfare bums in big cities and on the coasts.",entitlement,0
"I live just a few counties away from Sweet Briar, and for me the big surprise in this news was that Sweet Briar was still open to begin with. I had no idea it still existed. I taught for almost 30 years in a good high school here and can't remember a single student going to Sweet Briar after graduation. I wonder who the students were and where they came from.",sweet briar,1
"This proposal has it backwards. Law is a professional degree. As in the case of licenced professional engineers, accredition needs to be be separated from education, or the educators, If the proposal of Mr. Allard woulb be adopted, Universities, in search of more students (law schools are highly profitable) would inevitably water down the standards.",law school,1
"As a prof for 34 years, people ask me whether students are getting dumber or smarter. That would be very hard to quantify even with the most sophisticated measurement instruments. Empirically (that means observations done more or less scientifically) I see that there are still those that have it (intelligence, critical reasoning, a thirst for readiing, cognitive complexity) and those who don't (or just don't care). Additionally, most of us profs notice that there is a huge gap between those haves and have nots and that there is a huge gulf of mediocrity in our young people and citizenry. Unless you count ability to distinguish between Manolo and Jimmy Choo shoes, we are definitely becoming dumber. But remember, most of our empiricism is done at the local tavern.",people,0
"Wrong! Two reasons. One, Malthusianism does not hold, since resource production can go up exponentially too. Two, the population will peak out at 12-15 billion or so, when it will start to shrink, as it has been doing in Europe for decades now. Uncontrolled extrapolation is a trap to avoid.",over population,0
"The changes planned by Ryan and his compatriots will do nothing to help, and only hurt the program and the seniors it was designed to help in the long run. Privatization of any insurances at this point is like letting the fox run loos in the hen house. Can anyone show us where privatization has made the cost of running a government service cheaper AND improved the quality, or even maintained the quality of the program?",privatization,0
"Many have already said this, but I wish to add my voice to their complaint: it is extremely misleading to say that ""all net employment gains since November 2007 have gone to immigrants."" Furthermore, even if you were to issue the more accurate statement that ""immigrants have seen a net gain in employment compared to 2007, while native-born Americans have seen a net loss,"" you would still be intentionally misleading your readers, and here's why: By omission, you are implying that the gains of immigrants and the losses of native-born Americans are directly intertwined. In some ways, perhaps they are. However, you are ignoring the fact that the economy shed 8.7 MILLION jobs in the ""Great Recession,"" having to do primarily with the recklessness of our financial services industry and almost nothing to do with immigrants. A struggling recovery may have favored immigrants in certain sectors, but that doesn't mean that they, as a group, are to blame for America's labor market woes. We have perfectly good and deserving folks to blame for that right here at home.",immigrant,1
Any intervention is a slippery slope to full involvement which is why we should stay as far away from Syria as possible no matter what they do. Lookt at Libya -- we started out with R2P just to save those Jihadist in Benghazi from Qaddafi. Well it quickly morpher into regime change in violation of the UN SC resolution. So we acted outside the law. We didn't care we are the US - we are not bound by any LAW not even one passed in Congress. And regime change in Libya led to the muder of a US Ambassador -- does anyone think that what is about to happen will end any differently. The President will lie to us as we were lied to about NSA and lied to about US intentions in Libya. In another month we will be bleeding and dying in Syria to remove Assad and install Al Nusra in power -- the so called FSA will either defect to Al Nusra or be buthchered by them. This is a disaster in the making for the US.,syria,1
"Higher education is not just a steppingstone to a well-paying job; it is conducive to a more meaningful and fulfilling life, with benefits that go far beyond the economic. A ratings system whose metrics all have dollar signs in front of them is pernicious and should be avoided at all cost.",higher education,0
"Rasmussen didn't actually conclude that 20% of Americans are idiots, but its new poll on internet poker demonstrates the fact quite clearly. Responding to polling questions on gambling, 61% of Americans believed that people ought to be allowed to play poker or other games at home for money, but when asked if people ought to be allowed to play poker or other games for money on the internet, only 41% said yes. OK. So there is our 20% What sort of blithering idiot thinks, ""well, yeah, playing live poker at home is ok, but playing internet poker is not?""",people,0
"With this logic, taxing wages discourages work, so perhaps we should get rid of all payroll taxes. This line of thought is ridiculous. Taxation is but a bump in the road to those bent on earning millions, a price of doing business. No one would pass on making a wise investment because of taxes, just as no one with a good business plan would not start a business because of high taxation. Getting rid of taxes on capital gains just makes those with investment that much richer, and our society that much poorer.",capital gains,0
"I have very very happy memories of family vacations with the kids- and would not change those for the world. Perhaps the difference is the kids were well behaved? From looking at these posts, it seems alot of parents are extremely anxious to get away from their children. I think getting away for a romantic weekend sans children is great- but for big 2 week summer vacations, I would find it unthinkable to go without the children and to have them miss this experience. I would think this sends a message to the kids that you really don't like them very much- perhaps theyre right.",parents,1
Patients should also have to undergo mandatory training. I have used opioids for 12 years and I have not increased that amount in all that time because I studied up on pain medication and addiction. Not one doctor over that time told me one thing that I learned in my own. I know more than most doctors. Doctors are passing out pills they don't understand and their patients have even a less understanding how to use them. No wonder why there is a big problem.,opioids,1
